activated early epidermal progenitors.s	aqp+ parenchymal cells.s	cav-1+ neurons.s	ChAT neurons 1.s	ChAT neurons 2.s	early epidermal progenitors.s	epidermal neoblasts.s	epidermis.s	epidermis DVb.s	epidermis DVb neoblast.s	GABA neurons.s	glia.s	goblet cells.s	gut progenitors.s	late epidermal progenitors 1.s	late epidermal progenitors 2.s	ldlrr-1+ parenchymal cells.s	muscle body.s	muscle pharynx.s	muscle progenitors.s	neoblast 1.s	neoblast 10.s	neoblast 11.s	neoblast 12.s	neoblast 13.s	neoblast 3.s	neoblast 4.s	neoblast 5.s	neoblast 6.s	neoblast 7.s	neoblast 8.s	neoblast 9.s	neural progenitors.s	npp-18+ neurons.s	otf+ cells 1.s	otf+ cells 2.s	parenchymal progenitors.s	pgrn+ parenchymal cells.s	phagocytes.s	pharynx cell type.s	pharynx cell type progenitors.s	pigment.s	protonephridia.s	psap+ parenchymal cells.s	psd+ cells.s	secretory 1.s	secretory 2.s	secretory 3.s	secretory 4.s	spp-11+ neurons.s	Cnidocytean.n	Dig_filamentsan.n	Epitheliuman.n	Gastrodermisan.n	Gland_secretoryan.n	Musclean.n	Neuronan.n	Precursorsan.n
GABA neurons.s	0.208867203690689	0.349936634138771	0.986566955555676	0.968519469334349	0.976557933186295	0.291130189187544	0.282896397055581	0.983317414836039	0.410149826643498	0.235754462280707	0.990321553645336	0.653343619593225	0.599927690976915	0.0734134196882335	0.849845846303375	0.893409742120344	0.020064895465511	0.638834799997071	0.730406363271338	0.264867404269179	0.131681198694627	0.130552570837313	0.21330644136243	0.0990277541029588	0.231098182812074	0.0609090408947548	0.211070074758314	0.115216946377405	0.155033638177157	0.353635883803672	0.211921002204562	0.154282589759614	0.934184774269929	0.958454452334482	0.929319659434776	0.894893011417904	0.129461735134362	0.242731117063775	0.102851017873687	0.98449421006037	0.278892677854404	0.127032037649833	0.9771421964156	0.253415288290427	0.284096499924183	0.674784046856565	0.927777252167018	0.722271104022875	0.479681611896141	0.952137084517469	0.268363578478192	0.888951003849979	0.772119340173281	0.450858420904609	0.792568344849463	0.48342126145419	0.870061161889788	0.093345482330468
glia.s	0.208450553945192	0.956661954987836	0.535316741393587	0.868257605130096	0.729663683869431	0.230512066089698	0.316271377283421	0.76998704615404	0.669714403416209	0.240669762920463	0.653343619593225	0.997172478793591	0.967927640353529	0.316704106774294	0.359008759592939	0.471490496462073	0.920971075664412	0.838944279961648	0.893521685921701	0.411993908807315	0.103998334763832	0.147297819143366	0.264144370222511	0.193160845936436	0.15956186200889	0.176185038731196	0.2785850052673	0.232314453271098	0.193597012851874	0.0532516493873704	0.470113189764018	0.336488300411224	0.508347478433943	0.833460983058035	0.858531667432714	0.830543521334933	0.859472235372688	0.9914483733628	0.963612957894693	0.947983832173165	0.257318316531861	0.978186108653224	0.934273383172775	0.949593918377798	0.712097959034029	0.287456496234443	0.701532018565611	0.477409839418135	0.432050705446831	0.82799245994345	0.203017685867938	0.684391888609268	0.660770357922164	0.864691871270629	0.664066348491613	0.88336172990291	0.498646496425862	0.311193327049953
goblet cells.s	0.207783018867925	0.8254857153145	0.70022689842827	0.737781746464536	0.639144475144619	0.330234926243821	0.258798301475278	0.898007860133475	0.519492913371771	0.312464278894723	0.599927690976915	0.967927640353529	0.987735849056604	0.574553301077502	0.749782369856167	0.761498561328263	0.737414888279668	0.613518109028452	0.62182856781149	0.172980715413987	0.227290791256033	0.213871021536116	0.255839730253246	0.510278549836383	0.198249436072637	0.239270760952839	0.290277406595756	0.194562743336328	0.254427888052738	0.243288638344033	0.354716981132076	0.392907555730756	0.1536320416228	0.715580750436923	0.736501333643622	0.655013579188108	0.370164815480674	0.930799537338249	0.955076171023921	0.92793451510504	0.534966640361575	0.855747862477001	0.936649338374291	0.862410401594746	0.288737648132899	0.623017212058286	0.616981132075472	0.758962264150943	0.414777781763398	0.485398031405047	0.6230592551486	0.723612624003112	0.712272886093641	0.761077450557468	0.788602399237928	0.536812389490439	0.564932810942709	0.395238113207547
gut progenitors.s	0.600151811113892	0.362844972932043	0.0667885117970315	0.149204278442467	0.101313407232303	0.496345272558444	0.526851221703066	0.171033701264648	0.349175543622268	0.697817161190837	0.0734134196882335	0.316704106774294	0.574553301077502	0.827593421768423	0.422730886722183	0.388016537651366	0.602377946993496	0.266130936609215	0.268840606662526	0.41832178524683	0.773819849552797	0.710235118900433	0.663792255769413	0.706329232518706	0.665795860942005	0.751860646985807	0.668500473170919	0.708097999616077	0.691645031990617	0.710981017851629	0.593151327118506	0.681371828569137	0.268991786838795	0.177009780197987	0.224058625970613	0.206584350007165	0.642413771608369	0.463381611470314	0.63401340311609	0.117860778413154	0.547121019295261	0.551457637695988	0.174414061433944	0.386378570373296	0.602280373355162	0.331056420367169	0.285867699900753	0.336800733256957	0.400119035098508	0.204862235299254	0.591942831449021	0.461689229851998	0.507968760248641	0.546281833262103	0.363200210037198	0.56648294881736	0.253993755080755	0.77381673180734
late epidermal progenitors 1.s	0.420529447921544	0.427491508792118	0.806687340530625	0.358926827882529	0.705674251165959	0.921549967999216	0.532821840040607	0.961513379404717	0.884971255342969	0.492933574882143	0.849845846303375	0.359008759592939	0.749782369856167	0.422730886722183	0.962631292630874	0.960471955167564	0.586740093092975	0.279946476144637	0.308024932808097	0.222935972551283	0.366184866875529	0.447982731708853	0.374278824314298	0.466511587889738	0.316611375693641	0.308415889464976	0.222368078226394	0.274160982550111	0.336165079545918	0.114345863138603	0.397309769285005	0.314744934171052	0.213214309207132	0.329735313328397	0.401571966152334	0.38038422828845	0.288385384269567	0.45864141949629	0.734428362992566	0.9467286916131	0.716427877817204	0.533056891416405	0.871527670382493	0.675082904368886	0.585801392344867	0.622859612597359	0.687369575876343	0.537010931742439	0.542568532394492	0.256883245827591	0.773098551216947	0.510082511543312	0.565350176773386	0.559885326503766	0.594696734338436	0.562238137878248	0.419437211881917	0.484296954429426
late epidermal progenitors 2.s	0.494757107759216	0.601037596990866	0.869715225030765	0.498492262966214	0.804120506001134	0.928642392431225	0.512977973712433	0.967048710601719	0.912593082546972	0.396548419260586	0.893409742120344	0.471490496462073	0.761498561328263	0.388016537651366	0.960471955167564	0.957274753263292	0.706674703013449	0.367196553863278	0.360020380625897	0.253020701181998	0.228673716559402	0.337519491114584	0.291526199546535	0.438395595852352	0.248147966740772	0.21857251213729	0.176886702688467	0.207424273434302	0.264508031019906	0.0660809979952596	0.242593618785028	0.253173676701216	0.258617697601233	0.427124194069653	0.571075690189192	0.428780959668316	0.311765799999814	0.642884431709647	0.843655561115532	0.964445231341806	0.760315428352841	0.713222109681794	0.929863672665142	0.790762498320737	0.611032368164939	0.718778314234157	0.705904260750993	0.676764174971317	0.652409776015243	0.425283104698102	0.842682734985112	0.623098133433111	0.669328910193645	0.687106219928708	0.572510212667373	0.574052750144447	0.371948269462886	0.524374670487106
ldlrr-1+ parenchymal cells.s	0.243018350285995	0.931745139239131	0.0546135590630987	0.239944357223848	0.0781640020950828	0.612730885710834	0.414002508397476	0.249504833448376	0.715615318828466	0.313653028386792	0.020064895465511	0.920971075664412	0.737414888279668	0.602377946993496	0.586740093092975	0.706674703013449	0.923498997573072	0.395642051933886	0.602696227171036	0.305018876148054	0.296230122248106	0.458006435436991	0.24958260463295	0.268387068617894	0.219900812493405	0.195978873557302	0.384397771135784	0.341138809749921	0.308354925005535	0.147770528717923	0.241762628887017	0.292972459639126	0.180835613200514	0.253618650506559	0.393504803099645	0.390804861290972	0.916852545450764	0.957242671003846	0.933613255687471	0.268660851473461	0.417491457204174	0.93732005531254	0.312444186332725	0.934614267673302	0.658029588112957	0.424795886785925	0.411985273183736	0.476226056729201	0.324690670950001	0.440310869203947	0.764206282703015	0.582701181591025	0.681611488389965	0.882843073073112	0.604644914667223	0.745481278705868	0.411205335358455	0.69287119552601
muscle body.s	0.317454150507117	0.720741173278421	0.663684227739548	0.899392543021974	0.853268615648449	0.340741140222109	0.237555559968303	0.145750855292316	0.437724515504177	0.202395944531232	0.638834799997071	0.838944279961648	0.613518109028452	0.266130936609215	0.279946476144637	0.367196553863278	0.395642051933886	0.993838992332968	0.964520845229811	0.869283595499434	0.203151321862727	0.195855391262018	0.233895971025478	0.174822325614588	0.263618511861484	0.261587512381055	0.348879464979844	0.178136007232393	0.235951667064123	0.230824326925272	0.297680631043327	0.235681943290154	0.741041919360798	0.88963359021237	0.882554447275619	0.908555624011196	0.279772783221388	0.702214873659272	0.450279471835964	0.426030437842336	0.31659150138982	0.821734072566993	0.428399555143298	0.747909091260822	0.339394399806113	0.821149990104747	0.845926932429547	0.796273286398883	0.677705747520558	0.813022697421508	0.704519396659723	0.418250462016764	0.447673125320034	0.695382768630378	0.532310104696648	0.957318222229895	0.668792247602074	0.378581949616648
muscle pharynx.s	0.222296149764583	0.76127701781405	0.709444849958235	0.877391996862026	0.838857519982401	0.298320033323927	0.252425904602823	0.236189989792411	0.428350092952774	0.189073704311813	0.730406363271338	0.893521685921701	0.62182856781149	0.268840606662526	0.308024932808097	0.360020380625897	0.602696227171036	0.964520845229811	0.962235095695534	0.800749179364818	0.17735783280085	0.172924702171306	0.263931578313418	0.187427317813197	0.268239457467293	0.179576262519143	0.434501397803828	0.20648269588689	0.175613857780193	0.1228384177133	0.215663407405768	0.221745426914371	0.728918620803702	0.87125086966641	0.887473681414791	0.895475051442044	0.326908086061469	0.823702525321062	0.648600369470865	0.659524959408637	0.33333945810032	0.837344658978056	0.594797892575977	0.774218155438124	0.38920883130767	0.79092687842499	0.840409001039071	0.725627991133999	0.634507839887624	0.804944405767505	0.718771335769037	0.437032538825164	0.544904498039334	0.764588434916564	0.590309331509583	0.945739917667518	0.610290377224744	0.390354690914424
muscle progenitors.s	0.382235326675041	0.305547139686965	0.313346480244766	0.49195119463888	0.292659545367118	0.34116812242469	0.421884185699118	0.1382951824562	0.282941721979034	0.478037181698271	0.264867404269179	0.411993908807315	0.172980715413987	0.41832178524683	0.222935972551283	0.253020701181998	0.305018876148054	0.869283595499434	0.800749179364818	0.82950560316414	0.629467320599079	0.537755577778444	0.579987655744402	0.476986091321751	0.481025691106992	0.485952718420071	0.608384003432715	0.529992361699679	0.474489793790689	0.313915740986383	0.563163206925287	0.503420067972913	0.588900644489454	0.474592099245725	0.47801536414	0.478767678432313	0.332535350966966	0.27244028651584	0.244329087685241	0.228532476295743	0.36599402588158	0.278142852956487	0.204388645757658	0.311399680732474	0.269329044703981	0.428552699387961	0.44516647802888	0.390461468140944	0.480470510387973	0.323730575935813	0.768851060529683	0.589447889554125	0.542853938268687	0.584916687141151	0.539254334993475	0.752547721469743	0.424027490709195	0.710599894528675
neoblast 1.s	0.760796786624638	0.118337118562168	0.132955696116844	0.150553154607447	0.125799517072085	0.501898538215079	0.735557858590124	0.150583358850853	0.333783795828811	0.834194814524223	0.131681198694627	0.103998334763832	0.227290791256033	0.773819849552797	0.366184866875529	0.228673716559402	0.296230122248106	0.203151321862727	0.17735783280085	0.629467320599079	0.941011580886245	0.866660951059405	0.878920205583855	0.886891972884229	0.853901289913071	0.925111535116988	0.855350169337455	0.890114570489626	0.87407980437678	0.818998927509846	0.874576117832552	0.859535032081533	0.508302531136946	0.1464713892521	0.136774459851041	0.151340377233688	0.601417874553209	0.0895457695042007	0.114249792037319	0.0721499737835883	0.671622215013847	0.147001438679628	0.105823145599599	0.116088646432155	0.656744642992945	0.249499171986058	0.182532065045665	0.366460784133575	0.408080397324839	0.172286429001689	0.50407728395277	0.474153646836553	0.424906577833519	0.211730610775845	0.302757117563495	0.388025145429958	0.262478891837514	0.846635920648699
neoblast 10.s	0.732673134648371	0.267122217265347	0.112847821191038	0.130657642173177	0.121884659271456	0.507656733199568	0.658172252101164	0.176872548913201	0.387387877712795	0.775159645335371	0.130552570837313	0.147297819143366	0.213871021536116	0.710235118900433	0.447982731708853	0.337519491114584	0.458006435436991	0.195855391262018	0.172924702171306	0.537755577778444	0.866660951059405	0.883680555555555	0.752756593981642	0.773336230577732	0.736955035276795	0.814335592110911	0.665109397802387	0.816523268398268	0.801182434898114	0.764946978027209	0.861398179912331	0.76877984198586	0.477681499494861	0.196319587653472	0.0964672220305522	0.132970328282828	0.622148487061462	0.234327228220906	0.232530166075599	0.0943723625670696	0.63808282444214	0.190318577746876	0.142957964570086	0.204119865563146	0.585386298947732	0.295776191708355	0.267009422050696	0.385626905850962	0.480649052310174	0.245690588733708	0.53510509506833	0.555624284077892	0.522856811034877	0.378039508267422	0.382206834073266	0.493675550323957	0.202966195359097	0.797166818181818
neoblast 11.s	0.74495928689289	0.159068409966372	0.218272865996638	0.188630351460716	0.183617707472764	0.471378713659104	0.65038269008297	0.217574928911502	0.360361621419398	0.754761579592856	0.21330644136243	0.264144370222511	0.255839730253246	0.663792255769413	0.374278824314298	0.291526199546535	0.24958260463295	0.233895971025478	0.263931578313418	0.579987655744402	0.878920205583855	0.752756593981642	0.763307984790874	0.807262557880967	0.765255054161546	0.855167443399625	0.873648945426431	0.790707495926127	0.766422140535445	0.61149795909591	0.760659839299806	0.74969997905676	0.386962296605674	0.267038030001366	0.208573350841625	0.193984341994085	0.494967914118898	0.152843071317461	0.16058548999307	0.171438415979644	0.580941064638783	0.20725164305084	0.161720047151164	0.156068753647821	0.461247709251737	0.29501870477125	0.242216084367602	0.337150261855226	0.429134980988593	0.186748010163308	0.551610005218818	0.473767492454235	0.434835579894408	0.341067555985486	0.380342217883723	0.492936552681652	0.332850836477073	0.737767224334601
neoblast 12.s	0.716335201121267	0.173299427300709	0.131482006583132	0.117068511756283	0.0754480885740388	0.516103674963077	0.560447984147923	0.145334527446105	0.29227319466518	0.793336052688403	0.0990277541029588	0.193160845936436	0.510278549836383	0.706329232518706	0.466511587889738	0.438395595852352	0.268387068617894	0.174822325614588	0.187427317813197	0.476986091321751	0.886891972884229	0.773336230577732	0.807262557880967	0.97387472458294	0.815890925428225	0.819483789738747	0.759993704752912	0.793894059984712	0.803146054281041	0.775018934691113	0.770721384835581	0.817163426228582	0.287768776640315	0.182153837274408	0.102433793889788	0.0882742975076544	0.458099745208434	0.194845736296682	0.204718974065853	0.162352741496805	0.636765918537588	0.143855395360776	0.0502915419368774	0.152338782088021	0.541626854753598	0.199653141740415	0.111836994672796	0.391395109899573	0.431095154574646	0.201310847256598	0.451856912736766	0.539967347461945	0.493293112049459	0.380964045078297	0.3750189523746	0.43089984903075	0.334493514464318	0.873495599622285
neoblast 13.s	0.756001446401516	0.15806802433004	0.217308861121673	0.295127281077827	0.238816006601905	0.415986287145313	0.602285652637292	0.180318388086615	0.322534964649264	0.730645330127305	0.231098182812074	0.15956186200889	0.198249436072637	0.665795860942005	0.316611375693641	0.248147966740772	0.219900812493405	0.263618511861484	0.268239457467293	0.481025691106992	0.853901289913071	0.736955035276795	0.765255054161546	0.815890925428225	0.782315078611375	0.810198001363671	0.778747921387728	0.793483998854369	0.770621762392796	0.646418279207053	0.624828855760023	0.727603672048116	0.491355825542517	0.233016999369481	0.24224423096445	0.277594094434372	0.485126453480884	0.15720546659244	0.180086799267826	0.163393918776191	0.587190099223616	0.222025714591087	0.164352874125856	0.183589635326415	0.446036434159282	0.271813616617802	0.223370085669177	0.324484178179147	0.383911554329453	0.159400003799068	0.607459235672743	0.484832554453593	0.575596068236704	0.326234191251397	0.382130703653294	0.489555237263278	0.379146897427705	0.713932371003482
neoblast 3.s	0.861699731561162	0.0888161451462924	0.0634213107552564	0.144154164869974	0.0597511367001803	0.479849266922913	0.660031192194168	0.149935920156786	0.337662075067099	0.788528364700255	0.0609090408947548	0.176185038731196	0.239270760952839	0.751860646985807	0.308415889464976	0.21857251213729	0.195978873557302	0.261587512381055	0.179576262519143	0.485952718420071	0.925111535116988	0.814335592110911	0.855167443399625	0.819483789738747	0.810198001363671	0.979225684608121	0.768807050676739	0.846119991906111	0.858412205865496	0.872480454919119	0.821863586152832	0.762533624720174	0.345965830620713	0.139674307240189	0.174373136884593	0.249824511045297	0.40162203972223	0.0801777201316454	0.148790038099559	0.102070841760218	0.703568199308002	0.207220230131604	0.111919883758084	0.122896732475651	0.466952024572965	0.169206547266017	0.245076047772611	0.212962715508282	0.268866367821952	0.168759643490842	0.318246403377215	0.497329119736249	0.459213591497853	0.437715019588245	0.321337816777601	0.564204977519818	0.280469443760496	0.670713918791313
